Structure du canal;Emplacement;Section du canal;Type de bassin;Point Début;_coordonnées du point début_latitude;_coordonnées du point début_longitude;kdt;Point final;_coordonnées du point final_latitude;_coordonnées du point final_longitude
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3925167;15,3372373;"-4.3924499 15.3370867 296.0 1.25;-4.3924526 15.3370986 299.5 1.2;-4.3924668 15.3371885 300.5 1.283;-4.3924737 15.3372236 301.7 1.233;-4.392476 15.3372527 302.79999999999995 1.266;-4.3924833 15.3372533 303.5 1.233;-4.3925134 15.3373408 287.79999999999995 1.333;-4.3925334 15.3373853 282.4 1.4;-4.3925399 15.3374067 280.29999999999995 1.466;-4.3925407 15.3374326 279.2 1.5;-4.3925453 15.337493 279.79999999999995 1.45;-4.392542 15.3375247 281.5 1.383;-4.3925678 15.3376116 288.7 1.283;-4.3925902 15.3376849 296.4 1.2;-4.392595 15.3377101 298.5 1.25;-4.3926067 15.3377587 301.7 1.3;-4.3926248 15.3378347 303.29999999999995 1.2;-4.3926386 15.3378792 303.5 1.283;-4.3926439 15.3379009 303.2 1.316;-4.3926666 15.3380164 304.7 1.3;-4.3927012 15.3381291 304.5 1.25;-4.3927098 15.3381883 304.4 1.283;-4.3927096 15.3382154 304.59999999999997 1.3;-4.3927182 15.3382729 304.9 1.3;-4.3927237 15.3383343 305.9 1.3;-4.3927259 15.3383997 307.79999999999995 1.3;-4.392751 15.338441 308.0 1.4;-4.3927642 15.3384992 308.09999999999997 1.416;-4.3928003 15.33859 307.59999999999997 1.266;-4.3928234 15.3386739 307.2 1.266;-4.3928359 15.3387227 307.29999999999995 1.283;-4.3928521 15.338781 307.9 1.3;-4.392862 15.3388328 308.7 1.366;-4.3928744 15.3388897 309.2 1.333;-4.3928925 15.3389464 309.7 1.4;-4.3929098 15.3390065 310.59999999999997 1.466;-4.3929131 15.3390536 311.4 1.55;-4.3929219 15.3391386 313.79999999999995 1.533;-4.3929297 15.3392068 316.29999999999995 1.45;-4.3929669 15.3392799 316.0 1.433;-4.3929861 15.3393272 315.7 1.416;-4.3930106 15.339375 316.5 1.35;-4.3930157 15.3393986 316.79999999999995 1.366;-4.393013 15.3394505 316.29999999999995 1.566;-4.3930179 15.3394716 316.2 1.55;-4.3930314 15.3394894 316.0 1.55;-4.3930519 15.3395366 315.2 1.483;-4.3930581 15.3395699 315.0 1.45;-4.3930495 15.3396542 315.9 1.5;-4.3930579 15.3396777 316.5 1.5;-4.3930789 15.3397182 317.09999999999997 1.4;-4.3931152 15.3397524 316.9 1.466;-4.393135 15.3397637 316.5 1.416;-4.393146 15.339773 316.29999999999995 1.483;-4.3932151 15.3397869 303.7 1.366;-4.3931932 15.3398848 302.7 1.25";aval;-4,3931716;15,3399144
Non maconné;Surface ouvert;Rectangulaire;;amont;-4,3938928;15,3399045;"-4.3939121 15.3398918 287.79999999999995 1.457;-4.393913 15.3398816 295.7 1.616;-4.393893 15.3398834 296.79999999999995 1.55;-4.393841 15.339879 299.9 1.616;-4.39382 15.3398758 301.09999999999997 1.716;-4.3937991 15.3398864 302.5 1.65;-4.3937216 15.3399048 305.29999999999995 1.4;-4.393697 15.3399055 305.59999999999997 1.383;-4.3936322 15.3399037 306.4 1.483;-4.39358 15.3398974 307.2 1.566;-4.3935224 15.3398814 308.5 1.583;-4.3934642 15.3398574 308.9 1.633;-4.3933751 15.3398531 307.2 1.616;-4.3933191 15.3398579 305.59999999999997 1.533;-4.3932763 15.3398509 305.29999999999995 1.45;-4.3932588 15.3398357 305.79999999999995 1.4;-4.3932365 15.3398245 306.4 1.45";aval;-4,3932267;15,3398317
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3942488;15,3399676;"-4.3942906 15.3399559 301.0 1.58;-4.394286 15.3399631 301.79999999999995 1.466;-4.3942847 15.3399536 303.7 1.35;-4.3942751 15.3399129 305.29999999999995 1.4;-4.3942635 15.3398557 305.9 1.566;-4.3942382 15.3397789 309.7 1.583;-4.3942297 15.3397222 311.29999999999995 1.516;-4.394215 15.3396832 312.2 1.6;-4.3942045 15.3396226 313.09999999999997 1.533;-4.3942045 15.3395845 312.09999999999997 1.5;-4.3941882 15.3395085 312.2 1.483;-4.3941737 15.3394547 311.7 1.516;-4.394158 15.339408 311.7 1.566;-4.3941414 15.3393302 314.2 1.6";amont;-4,3941533;15,3393412
Maconné;Surface recouvert;Rectangulaire;;amont;-4,3959083;15,33894;"-4.395926 15.3389283 308.59999999999997 3.649;-4.3959319 15.3388885 308.9 1.5;-4.3959396 15.3388551 308.9 1.5;-4.3959214 15.3387831 308.79999999999995 1.5;-4.3959171 15.3387423 308.09999999999997 1.483;-4.3959093 15.3386895 309.2 1.5;-4.3958902 15.3386322 309.59999999999997 1.5;-4.39587 15.3385741 310.29999999999995 1.5;-4.3958531 15.3384874 311.5 1.533;-4.3958297 15.3384144 312.5 1.5;-4.3958063 15.3383478 313.09999999999997 1.5;-4.3957987 15.3382897 312.59999999999997 1.5;-4.3957861 15.3382286 313.29999999999995 1.516;-4.3957624 15.3381693 314.29999999999995 1.683;-4.3957576 15.3381069 313.9 1.566;-4.3957368 15.338045 312.7 1.5;-4.3957211 15.3379877 312.09999999999997 1.5;-4.3957154 15.3379536 312.4 1.5;-4.3957131 15.3379011 313.59999999999997 1.5;-4.3956898 15.3378521 314.7 1.516;-4.3956823 15.3377681 317.0 1.516;-4.3956598 15.3377073 317.2 1.583;-4.3956333 15.3376375 315.5 1.6;-4.395625 15.3375856 314.29999999999995 1.6;-4.3956188 15.3375228 315.5 1.583;-4.3955908 15.3374616 315.5 1.5;-4.3955759 15.3373967 315.2 1.6;-4.3955584 15.337346 313.29999999999995 1.633;-4.3955471 15.3372853 312.2 1.7;-4.3955208 15.3372184 310.2 1.65;-4.3955018 15.3371593 309.5 1.583;-4.3954952 15.3371304 309.7 1.583;-4.3954865 15.3370645 310.4 1.533;-4.3954741 15.3369724 310.59999999999997 1.5;-4.3954606 15.3369282 310.09999999999997 1.566;-4.3954406 15.3368702 311.09999999999997 1.533;-4.3954216 15.336818 311.4 1.583;-4.3954072 15.3367555 312.29999999999995 1.533;-4.3953983 15.3367199 311.2 1.3";aval;-4,3953823;15,336723
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3907155;15,3583075;"-4.3907683 15.358295 283.4000244140625 4.173;-4.3907467 15.3583083 283.4000244140625 2.0;-4.3908383 15.3586017 281.9000244140625 1.5;-4.3908873 15.3587243 281.9000244140625 1.5;-4.3909251 15.3588284 281.9000244140625 5.143;-4.3909711 15.3589623 281.9000244140625 4.652;-4.3909972 15.3591092 281.9000244140625 159.355;-4.3910302 15.3591905 281.9000244140625 3.593;-4.3910712 15.3592654 281.9000244140625 1.45;-4.3910978 15.3593573 281.9000244140625 4.011;-4.3912179 15.359541 281.9000244140625 1.35";aval;-4,3912171;15,3596418
Maconné;Surface ouvert;Rectangulaire;;amont;-4,391147;15,3596701;"-4.3912283 15.35967 281.9000244140625 2.711;-4.3912283 15.35967 281.9000244140625 10.216;-4.3912433 15.3597417 281.9000244140625 16.548;-4.391276 15.3599067 281.9000244140625 2.3;-4.3913544 15.3599904 281.9000244140625 2.883";aval;-4,391355;15,3599901
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3913376;15,360023;"-4.3912815 15.3599887 281.9000244140625 2.2;-4.3912795 15.3599959 281.9000244140625 3.644;-4.391265 15.3600667 283.6000061035156 1.6;-4.3912567 15.3600767 282.6000061035156 11.268;-4.3912567 15.3600767 282.6000061035156 41.63;-4.3912883 15.3601633 282.6000061035156 2.1";aval;-4,3912983;15,3601567
Maconné;Surface recouvert;Rectangulaire;;aval;-4,3877817;15,3591888;"-4.3877821 15.359197 284.0 1.883;-4.3879546 15.359194 284.0 1.566;-4.3880122 15.3591831 284.0 1.433;-4.3880848 15.3591542 284.0 1.333;-4.388223 15.3590953 284.0 1.3;-4.3883464 15.3590486 284.0 1.3;-4.3884782 15.3589941 284.0 1.283;-4.3886565 15.3589268 282.6 1.266;-4.3889018 15.3588407 284.1000061035156 1.64;-4.3889482 15.3588452 284.1000061035156 1.3;-4.3892925 15.3587033 284.1000061035156 1.416;-4.3894932 15.3586324 283.70001220703125 2.214;-4.3898719 15.3584883 283.70001220703125 4.5;-4.3901464 15.3583451 283.70001220703125 1.316;-4.3902766 15.3582957 283.70001220703125 1.266;-4.3903753 15.3582838 283.70001220703125 1.233;-4.3905044 15.3582346 278.90000000000003 1.2;-4.3905749 15.3582067 278.3 1.2;-4.3906683 15.3581577 277.5 1.2;-4.3907661 15.3581232 279.90000000000003 1.2";amont;-4,39077;15,358125
Non maconné;Surface ouvert;;;aval;-4,3906864;15,3579254;"-4.3907288 15.3580767 283.4000244140625 2.32;-4.3907665 15.3580782 283.4000244140625 1.533;-4.3907624 15.3580402 283.4000244140625 1.366;-4.3907096 15.3578748 283.4000244140625 1.35;-4.3906961 15.3578633 283.4000244140625 1.316;-4.390677 15.3578128 283.4000244140625 1.35;-4.3906663 15.3577773 283.4000244140625 1.416;-4.3906332 15.3576969 283.4000244140625 1.483;-4.3906111 15.3576503 283.4000244140625 1.4;-4.3906048 15.3576157 283.4000244140625 1.416;-4.3905889 15.3574997 278.7 1.416;-4.3905344 15.3573893 280.8 1.4;-4.3905107 15.357313 282.0 1.35;-4.3904749 15.3572194 282.7 1.416;-4.3904231 15.3570659 280.5 1.433;-4.3903937 15.3569185 281.3 1.416;-4.3903658 15.356857 281.0 1.35;-4.3903211 15.3567894 280.8 1.35;-4.3903052 15.3567362 280.90000000000003 1.3;-4.3902693 15.3566664 282.2 1.416;-4.3902516 15.356631 282.90000000000003 1.433;-4.3902433 15.3565964 283.8 1.416;-4.390262 15.3565011 285.40000000000003 1.4;-4.3902215 15.3564292 285.6 1.433;-4.3901666 15.3563271 284.1 1.25;-4.390118 15.3562403 282.7 1.2;-4.3900935 15.3561671 281.6 1.216;-4.3900308 15.3559803 281.1 1.2;-4.3899851 15.3559231 282.7 1.316;-4.3899549 15.3557628 282.90000000000003 1.366";amont;-4,3899127;15,3557501
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3949711;15,3427641;"-4.3949382 15.3428184 300.0 8.2;-4.3949225 15.3428417 303.0 6.4;-4.3949254 15.3428674 303.0 10.012;-4.3949372 15.3428738 301.0 8.803;-4.3949709 15.3429603 303.0 5.7;-4.3949789 15.3429886 303.0 8.076;-4.3949835 15.3430269 303.0 5.833;-4.3949953 15.3430998 301.0 5.367;-4.3949988 15.3431438 302.0 5.825;-4.3950322 15.3432957 301.0 3.018;-4.3950527 15.3433079 302.0 3.009;-4.3950962 15.3433959 302.0 3.009;-4.3951018 15.3434432 304.0 3.135;-4.3951019 15.3434645 306.0 3.133;-4.3951047 15.3435115 307.0 3.073;-4.3951011 15.3435713 310.0 3.016;-4.3950927 15.3436262 310.0 3.0;-4.3950821 15.3436957 310.0 3.003;-4.3950818 15.343746 310.0 3.0;-4.3950863 15.3438099 310.0 3.0;-4.3950586 15.3438641 308.0 3.0;-4.3950402 15.3439049 308.0 3.0;-4.395026 15.3439952 307.0 3.0;-4.3950247 15.3440694 307.0 3.0;-4.3950128 15.344122 307.0 3.0;-4.3950134 15.344174 309.0 3.0;-4.3950175 15.3442074 308.0 3.0;-4.3950205 15.3442302 308.0 3.0;-4.3950163 15.3442725 308.0 3.0;-4.3950172 15.3442895 308.0 3.0";aval;-4,3950258;15,3443458
Maconné;Surface recouvert;Rectangulaire;;amont;-4,3847383;15,3574683;"-4.3846383 15.3574833 285.6000061035156 1.866;-4.3847533 15.35743 285.6000061035156 1.2";aval;-4,3847417;15,3574433
Maconné;Surface ouvert;Rectangulaire;;amont;-4,384765;15,3573383;"-4.3847333 15.3574117 285.6000061035156 1.58;-4.3847333 15.3574117 285.6000061035156 1.36;-4.384735 15.3573983 285.6000061035156 1.216;-4.3847233 15.357395 285.6000061035156 1.283";amont;-4,3847967;15,357375
Maconné;Surface recouvert;Rectangulaire;;amont;-4,384965;15,3571817;"-4.38487 15.3571617 283.6000061035156 1.533;-4.3848583 15.357105 283.6000061035156 1.4";aval;-4,3848467;15,3570983
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3847533;15,3572183;"-4.382435 15.352705 305.70001220703125 1.733;-4.3824367 15.3527167 305.70001220703125 1.4";aval;-4,3825083;15,352685
Maconné;Enterré;Rectangulaire;;aval;-4,39373;15,34683;"-4.393762 15.3473497 303.8000183105469 2.972;-4.3937119 15.3479003 303.8000183105469 183.3;-4.3935934 15.3481565 303.8000183105469 25.335;-4.3935181 15.34932 302.3000183105469 219.11";aval;-4,3932972;15,3522819
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3932564;15,3527728;"-4.3939664 15.3527429 297.4000244140625 2.1;-4.3939366 15.352726 297.4000244140625 3.1";aval;-4,393975;15,3527533
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3939582;15,3526773;"-4.3940984 15.3516933 300.0 2.217;-4.3941049 15.3516999 300.0 2.48";amont;-4,3941097;15,3517068
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3979582;15,3470684;"-4.3966161 15.3470636 304.1000061035156 1.7;-4.3938206 15.3467693 303.8000183105469 118.848";aval;-4,3937682;15,3467508
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3948711;15,3584806;"-4.3942288 15.3568893 284.20001220703125 1.737;-4.3942058 15.3568785 284.20001220703125 1.635;-4.394195 15.3568903 284.20001220703125 1.291;-4.3941474 15.3568816 284.20001220703125 1.503;-4.3941321 15.3569046 284.20001220703125 1.253;-4.394051 15.3569229 284.20001220703125 0.997;-4.3940393 15.3569436 284.20001220703125 1.034;-4.3940247 15.3569638 284.20001220703125 1.63";aval;-4,3940186;15,3570181
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3970658;15,3570191;"-4.397082 15.3570135 284.5 1.447;-4.3970743 15.3570266 284.5 0.989;-4.397043 15.3570224 284.5 0.97;-4.3970306 15.3570243 284.5 1.178;-4.3969921 15.3570325 284.5 1.208;-4.3969619 15.3570324 284.5 1.071;-4.3969382 15.3570474 284.5 1.434;-4.3968899 15.3570536 284.5 1.178;-4.3968576 15.3570757 284.5 1.26;-4.3968271 15.3570854 284.5 0.954;-4.3968276 15.3570843 284.5 1.288;-4.3967349 15.3571209 284.5 0.994;-4.3967003 15.3571312 284.5 1.002;-4.3966714 15.3571373 284.5 1.039;-4.3966267 15.3571563 284.5 1.067;-4.3965926 15.3571569 284.5 1.507;-4.3965732 15.3571642 284.5 1.178;-4.3965527 15.3571664 284.5 1.347;-4.3965324 15.3571719 284.5 1.275;-4.3965021 15.3571734 284.5 1.322;-4.3964562 15.3571909 284.5 1.043;-4.3964069 15.357212 284.5 1.064;-4.3963659 15.3572299 284.5 1.033;-4.3963169 15.3572502 284.5 0.973;-4.396251 15.3572855 284.5 0.952;-4.3962187 15.3572846 284.5 0.965;-4.3961784 15.3572993 284.5 1.103;-4.396146 15.3573171 284.5 1.097;-4.3961327 15.3573187 284.5 1.091;-4.3960799 15.357337 284.5 1.215;-4.3960647 15.3573444 284.5 1.349;-4.3960317 15.357356 284.5 1.156;-4.3959965 15.3573586 284.5 0.918;-4.3959595 15.357363 284.5 0.914;-4.395911 15.3573734 284.5 0.936;-4.3958398 15.3573904 284.5 0.942;-4.3958294 15.3574018 284.5 1.017;-4.3957999 15.3574123 284.5 0.968;-4.395772 15.357421 284.5 0.973;-4.3957465 15.3574248 284.5 1.439;-4.3957136 15.3574172 284.5 1.643;-4.3956821 15.3574286 284.5 1.57;-4.3956464 15.3574599 284.5 1.276;-4.3956121 15.3574786 284.5 1.116;-4.3956024 15.3574694 284.5 1.3;-4.3955718 15.3574674 284.5 1.39;-4.3954883 15.3574991 284.5 1.161;-4.3954627 15.3575158 284.5 1.174;-4.3954174 15.3575216 288.916 1.374;-4.3953806 15.3575388 284.5 1.058;-4.3953452 15.3575689 284.5 1.047;-4.3953094 15.3575868 288.499 1.042;-4.3952702 15.3575985 284.5 1.059;-4.3952225 15.3576119 284.5 1.089;-4.3951861 15.3576143 284.5 1.051;-4.3951445 15.3576173 284.5 1.051;-4.3951067 15.3576286 284.5 1.217;-4.3950759 15.3576508 284.5 1.228;-4.3950372 15.3576751 284.5 1.17;-4.3949912 15.3576952 284.5 1.141;-4.3949804 15.3576958 284.5 1.058;-4.3949221 15.3577116 284.5 1.208;-4.3948837 15.3577323 288.163 0.994;-4.394839 15.357735 291.542 1.544;-4.3948165 15.3577439 293.743 1.832;-4.3948152 15.3577419 291.068 1.799";aval;-4,3947746;15,3577201
Non maconné;Surface ouvert;Rectangulaire;;aval;-4,3922573;15,3369629;"-4.3922442 15.3369675 306.91827935955604 4.0;-4.3922759 15.3370713 306.75987319472614 5.751";amont;-4,3923042;15,3370656
Maconné;Surface ouvert;trapezoidale;;aval;-4,3922893;15,3370853;"-4.3922903 15.3370862 305.0 4.61;-4.3923091 15.337139 305.0 3.0;-4.3923144 15.3372505 305.0 3.0;-4.3923364 15.3372979 305.3980730924438 3.0";amont;-4,3923509;15,3372896
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3923665;15,3372987;"-4.3923606 15.3373048 309.0 9.354;-4.3923547 15.3373398 309.0 3.011;-4.3924233 15.3375145 309.5021393769749 3.0";amont;-4,3924143;15,3375265
Maconné;Surface ouvert;trapezoidale;;aval;-4,3924519;15,3374973;"-4.3924629 15.3374854 309.2532073431719 4.452;-4.3924667 15.3375391 308.8998968275735 3.083;-4.39252 15.3376769 309.0 3.081";amont;-4,3925974;15,3376532
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3925413;15,3377383;"-4.3925399 15.3377399 304.20001220703125 3.274;-4.3925963 15.3379022 304.20001220703125 3.0;-4.3926394 15.3380858 304.4000244140625 3.0;-4.3926985 15.3382905 304.9128247723443 3.0;-4.3927337 15.3383932 304.8747994697876 3.0;-4.3927527 15.3384483 304.9283562823134 3.0;-4.3927529 15.3385256 306.0 3.0;-4.3928107 15.3385953 307.20001220703125 3.004;-4.3928418 15.3387956 307.20001220703125 3.0;-4.3928818 15.3389591 307.20001220703125 3.029;-4.3928537 15.3390474 306.6213562279401 3.0";amont;-4,3928243;15,3390691
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3929389;15,3390949;"-4.3929309 15.3390976 306.3000183105469 4.0;-4.3929609 15.3392115 306.3000183105469 3.255;-4.3930282 15.3394592 306.3000183105469 3.0;-4.3930461 15.339521 306.3000183105469 3.0;-4.3930467 15.339575 306.3000183105469 3.0;-4.393041 15.3396353 306.3000183105469 3.0;-4.3930243 15.3397046 306.3000183105469 3.0;-4.3930161 15.3397637 306.3000183105469 3.0;-4.3929912 15.3397932 306.3000183105469 3.0";aval;-4,3929832;15,339799
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3929658;15,3397968;"-4.3929664 15.3397984 306.3000183105469 3.0;-4.3929591 15.3398377 306.3000183105469 3.3";aval;-4,3929686;15,3398483
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3929868;15,3398791;"-4.3929884 15.3398719 306.3000183105469 3.588;-4.3929983 15.3399147 306.3000183105469 3.181;-4.3930633 15.3400027 306.3000183105469 4.0;-4.3930601 15.3401232 306.3000183105469 4.0;-4.3930516 15.3402634 306.3000183105469 3.053;-4.3930392 15.3403526 306.3000183105469 3.0;-4.3930355 15.3404014 306.3000183105469 3.0;-4.3930264 15.3404438 306.3000183105469 3.0;-4.3930123 15.3405725 304.8000183105469 3.0;-4.3930013 15.3406626 304.8000183105469 3.0;-4.3929945 15.3407463 304.8000183105469 4.157;-4.3929991 15.3407917 304.8000183105469 4.993;-4.3929931 15.3408181 304.8000183105469 3.888;-4.3929859 15.3408197 304.8000183105469 4.0;-4.3929863 15.3408562 304.8000183105469 4.395;-4.392991 15.341001 304.8000183105469 3.509;-4.3929528 15.3411547 304.8000183105469 3.381";aval;-4,3929406;15,3411499
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3929439;15,3411646;"-4.3929236 15.3411557 304.8000183105469 5.546;-4.3929386 15.3412028 304.8000183105469 4.0;-4.3929155 15.3412991 304.8000183105469 4.0;-4.3929381 15.3413456 304.8000183105469 3.731;-4.3928954 15.3414413 305.1000061035156 3.02;-4.3929061 15.3414915 305.20001220703125 3.74;-4.3929222 15.3413098 304.8000183105469 49.866;-4.3928956 15.3415708 304.8000183105469 3.685;-4.3928722 15.3417674 303.3000183105469 3.0;-4.3928629 15.3417936 303.3000183105469 3.0;-4.3928464 15.3418071 303.93725972660945 3.0";aval;-4,3928361;15,3418055
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3928287;15,3420096;"-4.3928631 15.3418011 304.8000183105469 6.836;-4.3928826 15.3419663 303.3000183105469 3.0;-4.3928614 15.3420735 303.3000183105469 3.0;-4.3928495 15.3421129 303.3000183105469 3.0";aval;-4,3928394;15,342107
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3928309;15,3421097;"-4.3928313 15.3421058 303.8000183105469 11.736;-4.3928476 15.342161 303.8000183105469 6.0;-4.3928378 15.3421435 303.5 7.015;-4.3928438 15.3421931 303.5 6.12;-4.3928411 15.3422478 303.3000183105469 3.915;-4.3928218 15.3423453 303.3000183105469 3.976;-4.3928029 15.3425323 303.0 3.049;-4.3927886 15.3426122 303.0 3.0;-4.3927498 15.3427055 303.0 3.0;-4.3927126 15.3427724 303.0 3.0;-4.3926913 15.3428531 303.0 4.8;-4.3926074 15.3430172 303.0 5.276;-4.3924421 15.3432961 303.0 3.0;-4.3923974 15.343378 303.0 3.0";aval;-4,3923888;15,3433795
Maconné;Surface ouvert;Rectangulaire;;amont;-4,392367;15,3433939;"-4.392383 15.3434018 304.9029179639018 7.441;-4.3921713 15.3437826 305.19214650985015 3.0;-4.3920938 15.3437971 305.1000061035156 48.0;-4.3919476 15.3441616 305.09561015663013 3.156;-4.3918402 15.344375 305.0179407802953 4.042;-4.391795 15.3444795 302.70001220703125 4.008;-4.3917515 15.3445848 302.70001220703125 4.354;-4.3916936 15.3446411 302.8000183105469 4.33;-4.3916159 15.3447847 302.8000183105469 26.431;-4.3916481 15.3448424 303.20001220703125 9.142;-4.3915459 15.3449578 302.8000183105469 5.154;-4.3915035 15.344992 302.8000183105469 4.088;-4.3914293 15.3450842 303.3000183105469 17.528";aval;-4,3913967;15,3450911
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3824598;15,3531624;"-4.3830015 15.3545732 294.8000183105469 1.233;-4.382985 15.354575 294.8000183105469 1.333;-4.3829796 15.3545295 294.8000183105469 1.466;-4.3829581 15.35443 294.8000183105469 1.533;-4.3829394 15.3543606 294.8000183105469 1.5;-4.3829164 15.3542939 294.8000183105469 1.533;-4.382891 15.3542292 294.8000183105469 1.533;-4.3828686 15.354165 294.8000183105469 1.483;-4.3828621 15.3541246 294.8000183105469 1.483;-4.3828508 15.3540897 294.8000183105469 1.5;-4.3828089 15.3540215 292.8 1.5;-4.3828104 15.3539903 293.0 1.5;-4.3827974 15.3539505 293.5 1.5;-4.3827716 15.3538836 293.8 1.5;-4.3827553 15.353848 294.0 1.5;-4.3827326 15.3537791 294.1 1.5;-4.3827128 15.3537436 294.7 1.5;-4.3826952 15.3536759 294.2 1.466;-4.3826794 15.3536371 294.7 1.466;-4.382661 15.3536003 295.2 1.5;-4.3826407 15.3535356 296.3 1.5;-4.3826238 15.3534954 297.1 1.5;-4.3826141 15.3534604 297.2 1.5;-4.3825987 15.353428 297.0 1.516;-4.382574 15.3533745 297.2 1.5;-4.3825495 15.3532912 297.90000000000003 1.533;-4.3825181 15.353222 296.7 1.566;-4.382503 15.3531925 297.1 1.533;-4.3824853 15.3531543 297.6 1.516;-4.3824663 15.3531226 298.1 1.5";aval;-4,382477;15,3530949
;;;;amont;-4,3940092;15,3394352;;aval;-4,3940471;15,3393726
Maconné;Surface ouvert;Rectangulaire;;aval;-4,3941332;15,3393524;"-4.3940991 15.3393684 307.0 2.166;-4.3941065 15.3393559 307.0 1.74;-4.3941115 15.339325 307.0 1.616;-4.3941098 15.3392954 307.0 1.616;-4.3941139 15.3392191 307.0 1.683;-4.3941152 15.3391647 307.0 1.633;-4.3940934 15.3391183 307.0 1.6;-4.3940655 15.3390635 307.0 1.55;-4.3940455 15.3389929 307.0 1.6;-4.3940347 15.3389399 307.0 1.616;-4.3940067 15.3388835 307.0 1.666;-4.3939766 15.3387366 304.9 1.466;-4.3939606 15.3386922 305.0 1.5;-4.3939475 15.3386431 305.79999999999995 1.5;-4.3939349 15.3385841 306.09999999999997 1.6;-4.3939146 15.3385282 307.59999999999997 1.6;-4.3938924 15.33845 307.5 1.5;-4.3938783 15.3383907 305.7 1.5;-4.3938654 15.3383387 305.0 1.516;-4.393852 15.3382771 305.0 1.6;-4.3938306 15.3382295 304.09999999999997 1.6;-4.3938077 15.3381478 303.79999999999995 1.55;-4.3937924 15.3381043 303.59999999999997 1.5;-4.3937746 15.338057 304.5 1.5;-4.3937644 15.3379989 307.2 1.4";amont;-4,393745;15,3379714
Maconné;Surface ouvert;Rectangulaire;;amont;-4,3936091;15,3389056;"-4.3936698 15.3389705 313.6000061035156 2.766;-4.3936617 15.3389502 313.6000061035156 2.166;-4.393677 15.3389793 313.6000061035156 2.016;-4.3936772 15.3390092 313.6000061035156 1.9;-4.3936715 15.3390294 313.6000061035156 1.85;-4.3936827 15.3390492 313.6000061035156 1.833;-4.3936983 15.3390715 313.6000061035156 1.816;-4.3937126 15.3390964 313.6000061035156 1.75;-4.3937217 15.339119 313.6000061035156 1.716;-4.3937275 15.3391454 313.6000061035156 1.8;-4.3937253 15.339192 313.6000061035156 1.9;-4.3937308 15.3392242 313.6000061035156 1.866;-4.3937381 15.3392518 313.6000061035156 1.833;-4.3937455 15.3392782 313.6000061035156 1.816;-4.3937513 15.3393075 313.6000061035156 1.9;-4.3937455 15.3393513 313.6000061035156 2.116;-4.3937511 15.3393925 313.6000061035156 2.233;-4.3937709 15.3394255 313.6000061035156 2.233;-4.3937765 15.3394515 313.6000061035156 2.133;-4.3937758 15.3394562 313.6000061035156 2.083;-4.3937799 15.3394727 313.6000061035156 2.166;-4.3938049 15.339519 313.6000061035156 2.183;-4.3938082 15.3395431 300.0 2.166;-4.3938237 15.3395973 301.0 2.133;-4.3938375 15.3396192 301.0 2.0;-4.3938487 15.3396463 301.2 1.833;-4.3938684 15.3396882 301.5 1.916;-4.3938759 15.3397092 302.0 1.9;-4.3938817 15.339727 302.79999999999995 1.9;-4.3938854 15.3397523 302.29999999999995 1.9;-4.3938868 15.3397716 301.7 1.916;-4.3938912 15.3397885 301.09999999999997 2.033;-4.3939054 15.3398062 301.59999999999997 2.166";aval;-4,3939383;15,3398554
